#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
4.99999999999999,-7979.640581117237,1115.541229889918,349.3978407971862,0
10.000000000000007,-7908.553617298167,1033.4505471638754,323.6862789781071,66.6
15.000000000000078,-8006.539826960307,1125.0615839399075,352.3797038243549,66.5
20.00000000000015,-7864.179141293673,975.1451656202507,305.42449369186636,66.4
25.00000000000022,-7918.2117880524665,1007.9378243324699,315.6954579924678,66.4
30.00000000000029,-7890.8081590836155,955.9836294761984,299.42292317550834,66.3
35.00000000000015,-7982.9610766189735,1035.7468133276138,324.40549079924705,66.2
39.999999999999865,-7938.387615342195,982.1418716124625,307.6159267835978,66.2
44.99999999999958,-7989.9675184530015,1036.0124383500183,324.48868701540033,66.2
49.9999999999993,-7962.482977027338,997.9631389245114,312.5712941778182,66.2
54.99999999999901,-7945.729376437525,1013.229927431135,317.35299367685684,66.2
59.99999999999873,-7950.268975154401,1007.5019196305774,315.5589286042626,66.2
64.99999999999845,-7960.828649510538,1041.601818861953,326.239332737797,66.2
69.99999999999817,-7950.753037183535,1032.9265131483958,323.5221466729919,66.2
74.99999999999788,-7980.330608167156,1024.9157532352663,321.01310250519515,66.2
79.9999999999976,-8066.936124317658,1113.25423690388,348.6815334211523,66.2
84.99999999999731,-7991.420249678966,1015.3748127664217,318.0247916210535,66.2
89.99999999999703,-7965.048201745252,1005.3613519646788,314.8884829940909,66.2
94.99999999999675,-7928.87900874641,959.3158490671597,300.46660520083236,66.1
99.99999999999646,-7867.505834354114,888.3653755931666,278.24426005470315,66.1
104.99999999999618,-7903.711118882616,956.0457838166922,299.4423904903711,66.1
109.9999999999959,-7921.656008542398,951.5144320705325,298.0231291725649,66.1
114.99999999999561,-7957.468178566404,991.2889694969006,310.4808825241387,66.1
119.99999999999532,-7896.306521419649,931.881643521315,291.87395804009026,66.1
124.99999999999504,-7999.787109707237,1034.5092848712152,324.0178854297589,66.1
129.9999999999953,-7921.110083136756,985.1191015081722,308.5484227499015,66.1
134.99999999999645,-7938.59677079486,990.8573966357014,310.34570990854246,66.1
139.99999999999758,-7941.57995593852,999.6283223525297,313.0928450436147,66.1
144.99999999999872,-7970.732068708284,1011.5344293680114,316.8219479866947,66.1
149.99999999999986,-7944.451802190519,931.8556037258667,291.8658021350814,66.1
